배정기준일,현금배당지급일,종목코드,종목명,주당배당금
20240630,,002840,미원상사,0
20240630,,268280,미원스페셜티케미칼(신설),0
20240630,,134380,미원화학,0
20240405,20240426,031210,서울보증보험,2983
20240405,20240426,001040,씨제이,3000
20240405,20240426,001045,씨제이1우,3050
20240405,20240426,00104K,씨제이4우,3000
20240404,20240426,011210,현대위아,850
20240403,20240424,082640,동양생명보험,400
20240403,20240422,031440,신세계푸드,750
20240403,20240426,010470,오리콤,270
20240403,20240425,049800,우진플라임,50
20240403,20240419,139480,이마트,2000
20240403,20240426,122310,제노레이,160
20240403,20240426,024880,케이피에프,150
20240403,20240424,003690,코리안리재보험,540
20240403,20240424,009520,포스코엠텍,35
20240403,20240419,010100,한국무브넥스,100
20240403,20240419,005010,휴스틸,250
20240402,20240426,000150,두산,2000
20240402,20240426,000155,두산1우,2050
20240402,20240426,000157,두산2우,2000
20240402,20240419,131970,두산테스나,160
20240402,20240419,13197K,두산테스나2우,160
20240402,20240423,051500,씨제이프레시웨이,450
20240402,20240426,078020,이베스트투자증권,150
20240402,20240426,07802K,이베스트투자증권1우,0
20240402,20240426,07802L,이베스트투자증권2우,0
20240402,20240425,052960,태양3C,25
20240402,20240425,052965,태양3C1우,0
20240402,20240418,039130,하나투어,5000
20240401,20240426,034730,SK,3500
20240401,20240426,03473K,SK1우,3550
20240401,20240423,001740,SK네트웍스,200
20240401,20240423,001745,SK네트웍스1우,225
20240401,20240418,006040,동원산업,1100
20240401,20240418,014820,동원시스템즈,600
20240401,20240418,014825,동원시스템즈1우,650
20240401,20240418,049770,동원에프앤비,800
20240401,20240425,009900,명신산업,100
20240401,20240422,206640,바디텍메드,200
20240401,20240424,000120,씨제이대한통운,500
20240401,20240429,078520,에이블씨엔씨,157
20240401,20240418,009970,영원무역홀딩스,2370
20240401,20240426,214320,이노션,950
20240401,20240425,307950,현대오토에버,1430
20240401,20240419,200670,휴메딕스,275
20240401,20240419,243070,휴온스,330
20240401,20240419,084110,휴온스글로벌,275
20240331,,175330,JB금융지주,0
20240331,,105560,KB금융지주,0
20240331,,017670,SK텔레콤,0
20240331,,008870,금비,0
20240331,20240412,008060,대덕,400
20240331,20240412,00806K,대덕1우,405
20240331,20240412,353200,대덕전자,300
20240331,20240412,35320K,대덕전자 1우,305
20240331,,033920,무학,0
20240331,20240415,377740,바이오노트,200
20240331,,318410,비비씨,0
20240331,,005930,삼성전자,0
20240331,,005935,삼성전자1우,0
20240331,,225190,삼양옵틱스,0
20240331,,055550,신한금융지주회사,0
20240331,20240425,264660,씨앤지하이테크,400
20240331,,097950,씨제이제일제당,0
20240331,,097955,씨제이제일제당1우,0
20240331,,096530,씨젠,0
20240331,,122900,아이마켓코리아,0
20240331,,000660,에스케이하이닉스,0
20240331,,267250,에이치디현대,0
20240331,20240422,083310,엘오티베큠,200
20240331,20240419,015360,예스코홀딩스,1000
20240331,20240412,122990,와이솔,250
20240331,,316140,우리금융지주,0
20240331,,381970,케이카,250
20240331,,030200,케이티,0
20240331,20240422,047050,포스코인터내셔널,1000
20240331,,005490,포스코홀딩스,0
20240331,,086790,하나금융지주,0
20240331,,009240,한샘,0
20240331,20240419,213500,한솔제지,300
20240331,20240419,21350K,한솔제지1우,350
20240331,20240419,004710,한솔테크닉스,100
20240331,20240419,004150,한솔홀딩스,100
20240331,20240419,086280,현대글로비스,6300
20240331,,005380,현대자동차,0
20240331,,005385,현대자동차1우,0
20240331,,005387,현대자동차2우,0
20240331,,005389,현대자동차3우,0
20240331,,094280,효성ITX,0
20240331,,094285,효성ITX1우,0
20240329,20240419,005940,NH투자증권,800
20240329,20240419,005945,NH투자증권1우,850
20240329,20240419,030610,교보증권,250
20240329,20240416,405920,나라셀라,80
20240329,20240423,241560,두산밥캣,800
20240329,20240419,016610,디비금융투자,200
20240329,20240419,005830,디비손해보험,5300
20240329,20240423,006800,미래에셋증권,150
20240329,20240423,006805,미래에셋증권1우,165
20240329,20240423,00680K,미래에셋증권2우,150
20240329,20240417,001270,부국증권,1500
20240329,20240417,001275,부국증권1우,1550
20240329,20240416,004690,삼천리,3000
20240329,20240422,060980,에이치엘홀딩스,2000
20240329,20240415,417200,엘에스머트리얼즈,22
20240329,20240422,001200,유진투자증권,60
20240329,20240415,006220,제주은행,100
20240329,20240425,024110,중소기업은행,984
20240329,20240422,204610,티쓰리엔터테인먼트,60
20240329,20240419,277880,티에스아이,0
20240329,20240419,27788N,티에스아이4우,505
20240329,20240415,022100,포스코디엑스,100
20240329,20240424,058430,포스코스틸리온,1615
20240329,20240424,003670,포스코퓨처엠,250
20240329,20240419,009180,한솔로지스틱스,100
20240329,20240418,088350,한화생명보험,150
20240329,20240415,000370,한화손해보험,200
20240329,20240415,00037K,한화손해보험 1우,350
20240329,20240426,004020,현대제철,1000
20240329,20240419,001500,현대차증권,400
20240329,20240419,00150K,현대차증권 1우,418
20240329,20240419,001450,현대해상화재보험,2063
20240328,20240419,010420,한솔PNS,25
20240327,20240418,029780,삼성카드,2500
20240327,20240419,000810,삼성화재해상보험,16000
20240327,20240419,000815,삼성화재해상보험1우,16005
20240327,20240418,123890,한국자산신탁,220
20240326,20240416,003540,대신증권,1200
20240326,20240416,003545,대신증권1우,1250
20240326,20240416,003547,대신증권2우,1200
20240326,20240419,012510,더존비즈온,217
20240326,20240419,01251K,더존비즈온2우,4861
20240326,20240419,000720,현대건설,600
20240326,20240419,000725,현대건설1우,650
20240325,20240419,012330,현대모비스,3500
20240325,20240419,012335,현대모비스1우,3550
20240322,20240409,030210,다올투자증권,150
20240322,20240409,03021K,다올투자증권3우,356.9
20240322,20240409,03021L,다올투자증권4우,295.3
20240321,20240418,006840,에이케이홀딩스,200
20240321,20240408,014680,한솔케미칼,2100
20240320,20240415,000270,기아,5600
20240315,20240411,012690,모나리자,50
20240311,20240412,028100,동아지질,500
20240311,20240416,267790,배럴,50
20240311,20240416,26779L,배럴 2우,112
20240307,20240329,042700,한미반도체,420
20240306,20240327,004310,현대약품,35
20240301,20240430,084870,티비에이치글로벌,50
20240301,20240419,002900,티와이엠,110
20240229,20240405,138930,BNK금융지주,410
20240229,20240412,139130,DGB금융지주,550
20240229,20240409,175330,JB금융지주,735
20240229,20240411,105560,KB금융지주,1530
20240229,20240405,282690,동아타이어공업(신설),1000
20240229,20240405,007340,디엔오토모티브,2500
20240229,20240412,148150,세경하이테크,100
20240229,20240412,14815K,세경하이테크1우,180.8533333334
20240229,20240424,097950,씨제이제일제당,2500
20240229,20240424,097955,씨제이제일제당1우,2550
20240229,20240415,246250,에스엘에스바이오,50
20240229,20240416,092870,엑시콘,100
20240229,20240409,316140,우리금융지주,640
20240229,20240425,035720,카카오,61
20240229,20240412,002380,케이씨씨,7000
20240229,20240426,344820,케이씨씨글라스,1400
20240229,20240419,271830,팸텍,30
20240229,20240419,005490,포스코홀딩스,2500
20240229,20240419,005380,현대자동차,8400
20240229,20240419,005385,현대자동차1우,8450
20240229,20240419,005387,현대자동차2우,8500
20240229,20240419,005389,현대자동차3우,8450
20240228,20240425,337930,브랜드엑스코퍼레이션,40
20240228,20240409,086790,하나금융지주,1600
20240223,20240405,055550,신한금융지주회사,525
20240131,,448730,삼성에프엔위탁관리부동산투자회사,72
20240131,,432320,케이비스타위탁관리부동산투자회사,188
20240115,20240418,192440,슈피겐코리아,696
20240115,20240415,293480,하나제약,510
20231231,,317120,(주)라닉스,0
20231231,,204270,(주)제이앤티씨,0
20231231,,250030,(주)진코스텍,0
20231231,20240422,318010,(주)팜스빌,100
20231231,,331660,(주)한국미라클피플사,0
20231231,20240419,001460,BYC,3000
20231231,20240419,001465,BYC1우,3050
20231231,,011150,CJ씨푸드,0
20231231,,011155,CJ씨푸드1우,0
20231231,,058820,CMG제약,0
20231231,20240426,000990,DB 하이텍,580
20231231,20240426,000995,DB 하이텍1우,630
20231231,,000997,DB 하이텍2우,0
20231231,20240415,004840,DRB동일,100
20231231,20240415,017940,E1,4450
20231231,,050120,ES큐브,0
20231231,20240424,089470,HDC현대EP,140
20231231,20240429,143500,KBS미디어,0
20231231,20240426,024120,KB오토시스,150
20231231,,044180,KD,0
20231231,20240423,060720,KH바텍,400
20231231,20240412,001940,KISCO홀딩스,900
20231231,20240417,071430,KIS정보통신,0
20231231,20240408,025000,KPX케미칼,2500
20231231,20240411,092230,KPX홀딩스,2750
20231231,20240419,093050,LF,700
20231231,20240409,003550,LG,3100
20231231,20240409,003555,LG1우,3150
20231231,20240405,051900,LG생활건강,3500
20231231,20240405,051905,LG생활건강1우,3550
20231231,20240419,032640,LG유플러스,400
20231231,20240419,011070,LG이노텍,2610
20231231,20240425,066570,LG전자,800
20231231,20240425,066575,LG전자1우,850
20231231,20240423,051910,LG화학,3500
20231231,20240423,051915,LG화학1우,3550
20231231,20240412,006260,LS,1600
20231231,,000680,LS네트웍스,0
20231231,,000685,LS네트웍스1우,0
20231231,20240416,108320,LX세미콘,1800
20231231,20240412,001120,LX인터내셔널,1200
20231231,20240412,108670,LX하우시스,1700
20231231,20240412,108675,LX하우시스1우,1750
20231231,20240419,023150,MH에탄올,250
20231231,20240426,034310,NICE홀딩스,451
20231231,20240412,456040,OCI,2000
20231231,20240412,010060,OCI홀딩스,3300
20231231,20240426,010950,S-OIL,1500
20231231,20240426,010955,S-OIL1우,1525
20231231,,002360,SH에너지화학,0
20231231,,002365,SH에너지화학1우,0
20231231,,011790,SKC,0
20231231,20240419,018670,SK가스,6000
20231231,,326030,SK바이오팜,0
20231231,,402340,SK스퀘어,0
20231231,20240426,003340,SK에코플랜트,0
20231231,20240426,00334N,SK에코플랜트 8우,31533
20231231,20240426,00334P,SK에코플랜트 9우,0
20231231,,096770,SK이노베이션,0
20231231,,096775,SK이노베이션1우,0
20231231,20240424,001510,SK증권,2
20231231,20240424,001515,SK증권1우,7
20231231,20240425,285130,SK케미칼,250
20231231,20240425,28513K,SK케미칼 1우,300
20231231,20240425,017670,SK텔레콤,1050
20231231,,465770,STX 그린로지스,0
20231231,,077970,STX엔진,0
20231231,,077975,STX엔진1우,0
20231231,,07797L,STX엔진2우,0
20231231,20240412,048770,TPC메카트로닉스,25
20231231,20240418,122870,YG엔터테인먼트,300
20231231,20240419,051390,YW,200
20231231,20240412,079940,가비아,80
20231231,20240417,078890,가온그룹,30
20231231,,000500,가온전선,0
20231231,,399720,가온칩스,0
20231231,,296520,가이아코퍼레이션,0
20231231,20240426,000860,강남제비스코,500
20231231,,217730,강스템바이오텍,0
20231231,,21773Q,강스템바이오텍6우,0
20231231,20240426,035250,강원랜드,930
20231231,,114190,강원에너지,0
20231231,,011420,갤럭시아 에스엠,0
20231231,20240424,094480,갤럭시아머니트리,45
20231231,20240401,039240,경남스틸,120
20231231,20240412,002100,경농,250
20231231,20240404,009450,경동나비엔,550
20231231,20240419,267290,경동도시가스(신설),875
20231231,20240426,012320,경동인베스트,750
20231231,20240418,011040,경동제약,400
20231231,20240411,000050,경방,125
20231231,20240423,214390,경보제약,50
20231231,20240409,012610,경인양행,50
20231231,20240404,009140,경인전자,350
20231231,20240415,024910,경창산업,50
20231231,20240418,013580,계룡건설산업,400
20231231,20240416,012200,계양전기,25
20231231,20240416,012205,계양전기1우,30
20231231,20240419,081630,고려비엔피,0
20231231,20240405,002140,고려산업,25
20231231,,198440,고려시멘트,0
20231231,20240315,049720,고려신용정보,200
20231231,20240409,010130,고려아연,5000
20231231,20240422,002240,고려제강,350
20231231,20240405,014570,고려제약,150
20231231,,348150,고바이오랩,0
20231231,,34815R,고바이오랩 7우,0
20231231,,34815S,고바이오랩 8우,0
20231231,20240417,950190,고스트스튜디오 KDR,716.5704
20231231,20240412,098460,고영테크놀러지,140
20231231,,035290,골드앤에스,0
20231231,20240409,123900,골든블루,120
20231231,20240411,215000,골프존,4500
20231231,20240412,121440,골프존뉴딘홀딩스,167
20231231,20240412,366030,공구우먼,120
20231231,20240408,076340,관악산업,100
20231231,20240425,009290,광동제약,100
20231231,,014200,광림,0
20231231,20240412,017040,광명전기,10
20231231,,029480,광무,0
20231231,20240408,017900,광전자,50
20231231,20240423,037710,광주신세계,2200
20231231,,421800,교보12호기업인수목적,0
20231231,,440790,교보13호기업인수목적,0
20231231,,456490,교보14호기업인수목적,0
20231231,,465320,교보15호기업인수목적,0
20231231,20240424,339770,교촌에프앤비,300
20231231,20240412,053270,구영테크,50
20231231,20240326,007690,국도화학,1200
20231231,,005320,국동,0
20231231,,00532K,국동 1우,0
20231231,,00532L,국동 2우,0
20231231,20240419,066620,국보디자인,400
20231231,20240405,043650,국순당,105
20231231,20240401,006050,국영지앤엠,10
20231231,20240412,060480,국일신동,50
20231231,20240417,041760,국일인토트,0
20231231,20240425,307750,국전약품,10
20231231,,002720,국제약품,0
20231231,,243870,굿센,0
20231231,,24387K,굿센1우,0
20231231,20240416,035080,그래디언트,200
20231231,20240426,114090,그랜드코리아레저,353
20231231,20240405,204020,그리티,100
20231231,,402490,그린리소스,0
20231231,,114450,그린생명과학,0
20231231,20240409,083420,그린케미칼,150
20231231,,186230,그린플러스,0
20231231,,18623N,그린플러스4우,0
20231231,20240423,014530,극동유화,200
20231231,20240426,006250,극동전선,0
20231231,20240426,083450,글로벌스탠다드테크놀로지,500
20231231,,204620,글로벌텍스프리,0
20231231,,019660,글로본,0
20231231,20240405,014280,금강공업,120
20231231,20240405,014285,금강공업1우,130
20231231,20240412,053260,금강철강,130
20231231,,001570,금양,0
20231231,20240412,282720,금양그린파워,300
20231231,20240419,011780,금호석유화학,2900
20231231,20240419,011785,금호석유화학1우,2950
20231231,,073240,금호타이어,0
20231231,20240412,036190,금화피에스시,1300
20231231,,049080,기가레인,0
20231231,20240417,420770,기가비스,800
20231231,,035460,기산텔레콤,0
20231231,,456700,길교이앤씨,0
20231231,20240426,013700,까뮤이앤씨,15
20231231,,308100,까스텔바작,0
20231231,,004540,깨끗한나라,0
20231231,,004545,깨끗한나라1우,0
20231231,,407400,꿈비,0
20231231,,286750,나노브릭,0
20231231,20240412,121600,나노신소재,250
20231231,20240412,12160M,나노신소재 3우,2186.05
20231231,20240412,12160N,나노신소재4우,5
20231231,,039860,나노엔텍,0
20231231,,091970,나노캠텍,0
20231231,,417010,나노팀,0
20231231,20240403,040970,나눔기술,0
20231231,20240429,244880,나눔테크,50
20231231,20240409,358400,나디아퍼시픽,0
20231231,,288490,나라소프트,0
20231231,20240412,051490,나라엠앤디,70
20231231,,137080,나래나노텍,0
20231231,,190510,나무가,0
20231231,,242040,나무기술,0
20231231,20240424,089600,나스미디어,700
20231231,20240412,293580,나우아이비캐피탈,18
20231231,,257990,나우코스,0
20231231,,138610,나이벡,0
20231231,20240411,130580,나이스디앤비,182
20231231,20240423,036800,나이스정보통신,730
20231231,20240417,030190,나이스평가정보,410
20231231,,267320,나인테크,0
20231231,,26732L,나인테크 2우,0
20231231,20240401,043960,낙스넷,0
20231231,,001260,남광토건,0
20231231,20240426,003920,남양유업,1000
20231231,20240426,003925,남양유업1우,1050
20231231,20240418,025860,남해화학,60
20231231,20240416,111710,남화산업,200
20231231,20240423,091590,남화토건,50
20231231,20240318,079180,내일신문,0
20231231,,168330,내츄럴엔도텍,0
20231231,,094860,네오리진,0
20231231,20240416,253590,네오셈,30
20231231,,212560,네오오토,150
20231231,20240418,095660,네오위즈,245
20231231,,950220,네오이뮨텍 KDR,0
20231231,20240403,085910,네오티스,200
20231231,20240409,092730,네오팜,750
20231231,,290660,네오펙트,0
20231231,,306620,네온테크,0
20231231,,30662L,네온테크2우,0
20231231,20240417,035420,네이버,790
20231231,,153460,네이블,0
