allocation_base_date	cash_dividend_payment_date	ticker_symbol	dividend_per_share
20231031		448730	70
20231031		453440	0
20231005	20231025	009970	1600
20231004	20231018	078520	1270
20230930	20231108	105560	510
20230930	20231114	017670	830
20230930	20231024	002100	200
20230930	20231025	023450	500
20230930	20231025	086900	1100
20230930	20231025	08690K	0
20230930	20231025	08690L	2314.9782972302
20230930	20231023	002840	500
20230930	20231018	225530	150
20230930	20231120	005930	361
20230930	20231120	005935	361
20230930	20231113	225190	50
20230930	20231103	055550	525
20230930	20231027	003410	70
20230930		097950	0
20230930		097955	0
20230930		096530	0
20230930	20231031	002310	500
20230930		122900	0
20230930		395400	91
20230930	20231114	000660	300
20230930	20231110	267250	900
20230930	20231110	316140	180
20230930		381970	0
20230930		003070	0
20230930		003075	0
20230930		005490	0
20230930	20231031	161580	188
20230930	20231110	086790	600
20230930	20231027	004590	35
20230930	20231020	168490	576
20230930		009240	0
20230930	20231020	213500	200
20230930	20231020	21350K	200
20230930		018880	0
20230930	20231114	005380	1500
20230930	20231114	005385	1500
20230930	20231114	005387	1500
20230930	20231114	005389	1500
20230930	20231018	060560	10
20230930	20231116	094280	150
20230930	20231116	094285	150
20230930		081660	0
20230915	20231013	035150	100
20230831		417310	66
20230811	20230825	138930	100
20230810	20230831	034730	1500
20230810	20230831	03473K	1500
20230731	20231020	360000	0
20230731	20231020	36000K	0
20230731		443100	0
20230731	20231030	44310K	0
20230731	20231030	44310L	0
20230731	20231030	44310M	0
20230731	20231107	448730	70.3580113971
20230731	20231027	432320	188
20230728	20230811	168490	240
20230725	20230810	002030	600
20230720	20230804	002900	50
20230719	20230801	203810	0
20230710	20230809	004050	327
20230630	20230810	017940	700
20230630	20230808	175330	120
20230630	20230808	105560	510
20230630	20230808	025000	500
20230630	20230810	092230	750
20230630	20230825	032640	250
20230630	20230825	010950	200
20230630	20230825	010955	200
20230630	20230818	018670	2000
20230630	20230825	285130	400
20230630	20230825	28513K	400
20230630	20230811	017670	830
20230630	20230811	049720	180
20230630	20230824	010130	10000
20230630	20230919	374760	0
20230630	20230809	083420	80
20230630	20230829	013700	5
20230630	20230822	035420	415
20230630		178600	0
20230630		17860K	35
20230630		17860L	30
20230630		430970	0
20230630		43097K	0
20230630	20231006	43097L	0
20230630		43097M	0
20230630	20231006	43097N	0
20230630	20230824	067080	50
20230630	20230810	000640	1000
20230630	20230814	241560	800
20230630		418870	0
20230630	20230830	41887K	0
20230630	20230830	41887L	0
20230630	20230830	41887M	0
20230630	20230728	007340	500
20230630	20230811	038390	200
20230630	20230922	330590	109.18284852
20230630	20231006	169330	120
20230630	20230828	088980	385
20230630	20230830	012690	100
20230630	20231018	015250	100
20230630	20230724	002840	500
20230630	20230727	268280	700
20230630	20230726	134380	1500
20230630	20230726	337930	40
20230630	20230816	005930	361
20230630	20230816	005935	361
20230630	20230901	003230	1000
20230630	20230807	225190	100
20230630	20230811	004450	500
20230630	20230808	065710	500
20230630	20230831	148150	200
20230630	20230831	14815K	442.56
20230630	20231026	021820	100
20230630	20231026	066710	50
20230630	20231017	005390	50
20230630	20230804	055550	525
20230630	20230927	404990	150
20230630	20230726	004080	130
20230630	20230814	003410	70
20230630	20230807	352700	50
20230630	20230825	097950	1000
20230630	20230825	097955	1000
20230630	20230829	096530	200
20230630	20231013	050860	50
20230630	20230824	122900	150
20230630	20231020	030960	50
20230630	20230818	003570	150
20230630	20230818	064960	600
20230630	20230818	100840	400
20230630	20230821	036530	300
20230630	20230829	056190	180
20230630	20230818	006120	500
20230630	20230818	006125	500
20230630	20230808	210980	400
20230630	20230808	21098L	400
20230630	20230914	395400	66
20230630	20230814	000660	300
20230630	20230725	037890	800
20230630	20230803	221960	0
20230630	20230811	267250	900
20230630	20231010	386150	0
20230630	20231010	38615K	0
20230630	20231010	38615L	0
20230630	20230818	230360	130
20230630	20230927	400760	138
20230630	20230809	316140	180
20230630		434780	0
20230630	20231011	43478K	0
20230630	20230721	105840	50
20230630	20230818	214320	450
20230630	20230927	088260	200
20230630	20230922	350520	133
20230630	20230825	049070	50
20230630	20231013	348950	190
20230630	20230714	194370	350
20230630	20230825	053050	20
20230630	20230808	003780	50
20230630	20230808	010640	50
20230630	20230809	100250	50
20230630	20230717	078340	1300
20230630	20230721	214370	1200
20230630	20230809	002380	1000
20230630	20230731	344820	800
20230630		435230	0
20230630	20230925	43523K	0
20230630	20230925	43523L	0
20230630	20230822	381970	190
20230630	20230823	033780	1200
20230630		369550	0
20230630	20231006	36955K	0
20230630	20231006	36955L	0
20230630	20230830	094930	0
20230630	20230721	033290	60
20230630	20230821	096240	1000
20230630	20230927	435770	0
20230630	20230927	43577K	0
20230630	20230927	43577L	0
20230630	20230828	005490	2500
20230630	20231017	189690	100
20230630	20230810	086790	600
20230630		396580	0
20230630	20230927	39658K	0
20230630	20230927	39658L	0
20230630		397340	0
20230630	20230927	39734K	0
20230630		360780	0
20230630	20230926	36078K	0
20230630	20230926	36078L	0
20230630		359960	0
20230630	20230926	35996K	0
20230630	20230823	034950	1381
20230630	20230808	025540	250
20230630	20230825	009240	1500
20230630	20230824	018880	90
20230630	20230814	012330	1000
20230630	20230814	012335	1000
20230630	20230814	005380	1500
20230630	20230814	005385	1500
20230630	20230814	005387	1500
20230630	20230814	005389	1500
20230630	20230817	094280	150
20230630	20230817	094285	150
20230630	20230825	200670	250
20230630	20230825	243070	300
20230630	20230825	084110	250
20230621	20230721	155900	0
20230531	20230906	357250	154
20230531	20230829	338100	131
20230531		142690	0
20230531	20230908	365550	135
20230531	20230829	417310	81
20230531	20230831	357120	200
20230529	20230621	155900	0
20230517	20230605	220630	0
20230517	20230608	358720	0
20230430	20230807	448730	58.4373217335
20230430		414720	0
20230430	20230731	41472K	0
20230430	20230731	41472L	0
20230430		342040	0
20230430	20230728	34204K	0
20230430	20230728	34204L	0
20230430	20230811	451800	131
20230427	20230522	155900	0
20230425	20230510	056070	1000
20230420	20230504	337730	25000
20230418	20230428	203810	0
20230331	20230511	105560	510
20230331	20230703	950110	153.1122
20230331	20230510	017670	830
20230331	20230530	008870	400
20230331	20230707	092440	150
20230331	20230714	020180	20
20230331	20230727	018500	20
20230331	20230623	377190	150
20230331	20230629	044130	33
20230331	20230629	04413K	75
20230331	20230622	357430	152
20230331	20230707	396690	154.1
20230331	20230517	005930	361
20230331	20230517	005935	361
20230331	20230512	225190	100
20230331	20230707	001720	4000
20230331	20230707	001725	4050
20230331	20230512	055550	525
20230331	20230630	362010	0
20230331	20230630	36201K	0
20230331	20230630	36201L	0
20230331	20230623	327000	0
20230331	20230623	32700L	0
20230331	20230623	32700K	0
20230331	20230629	293940	190
20230331	20230629	29394K	411
20230331	20230629	335050	0
20230331	20230629	33505K	0
20230331	20230629	33505L	0
20230331	20230509	003410	70
20230331	20230526	097950	1000
20230331	20230526	097955	1000
20230331	20230530	096530	200
20230331	20230525	122900	150
20230331	20230720	289080	20
20230331	20230719	083030	6900
20230331	20230706	395400	66
20230331	20230508	000660	300
20230331	20230525	230360	70
20230331	20230419	015360	6000
20230331	20230630	067010	120
20230331	20230523	381970	190
20230331	20230725	190650	200
20230331	20230428	084870	50
20230331	20230516	425040	400
20230331	20230601	005490	2500
20230331	20230512	086790	600
20230331	20230414	168490	10
20230331		009240	0
20230331	20230525	018880	90
20230331	20230518	094280	150
20230331	20230518	094285	150
20230328	20230418	153380	600
20230327	20230421	155900	0
20230327	20230410	354760	0
20230327	20230410	35476K	0
20230327	20230410	35476L	0
20230327	20230410	35476M	0
20230327	20230410	35476N	0
20230327	20230410	35476P	0
20230327	20230410	35476Q	0
20230327	20230410	35476R	0
20230228	20230510	321790	0
20230228	20230510	32179K	0
20230228	20230510	32179L	0
20230228	20230531	334890	212.9048757889
20230228	20230530	405410	0
20230228	20230530	40541K	0
20230228	20230530	417310	83
20230227	20230321	155900	0
20230201	20230227	419360	0
20230131	20230421	360000	0
20230131	20230421	36000K	0
20230131	20230428	443100	0
20230131	20230428	44310K	0
20230131	20230428	44310L	0
20230131	20230428	44310M	0
20230131	20230428	432320	165
20230127	20230221	155900	0
20230116	20230201	203810	0
20230101	20230407	003540	1200
20230101	20230407	003545	1250
20230101	20230407	003547	1200
20221231	20230424	318010	100
20221231	20230330	138930	625
20221231	20230421	001460	3000
20221231	20230421	001465	3050
20221231	20230428	000990	1300
20221231	20230428	000995	1350
20221231		000997	0
20221231	20230413	139130	650
20221231	20230414	004840	40
20221231	20230410	017940	3600
20221231	20230421	089470	120
20221231	20230410	175330	715
20221231	20230421	143500	0
20221231	20230410	105560	1450
20221231	20230427	024120	150
20221231	20230421	060720	300
20221231	20230414	001940	600
20221231	20230414	071430	0
20221231	20230404	025000	2250
20221231	20230406	092230	2400
20221231	20230413	093050	700
20221231	20230412	003550	3000
20221231	20230412	003555	3050
20221231	20230405	051900	4000
20221231	20230405	051905	4050
20221231	20230414	032640	400
20221231	20230421	011070	4150
20221231	20230426	066570	700
20221231	20230426	066575	750
20221231	20230426	051910	10000
20221231	20230426	051915	10050
20221231	20230407	006260	1550
20221231	20230421	108320	4500
20221231	20230419	001120	3000
20221231	20230421	108670	200
20221231	20230421	108675	250
20221231	20230421	023150	250
20221231	20230413	005940	700
20221231	20230413	005945	750
20221231	20230424	034310	410
20221231	20230407	010060	2500
20221231	20230428	010950	3000
20221231	20230428	010955	3025
20221231	20230420	002360	10
20221231	20230420	002365	15
20221231	20230428	034730	3500
20221231	20230428	03473K	3550
20221231	20230420	011790	1100
20221231	20230421	018670	5500
20221231	20230421	001740	120
20221231	20230421	001745	145
20221231	20230428	003340	600
20221231	20230428	00334N	31533
20221231	20230428	00334P	600
20221231	20230428	00334K	0
20221231	20230428	00334L	0
20221231	20230428	001510	5
20221231	20230428	001515	10
20221231	20230427	285130	1100
20221231	20230427	28513K	1150
20221231	20230427	017670	830
20221231	20230428	048770	25
20221231	20230414	122870	250
20221231	20230419	051390	150
20221231	20230406	079940	70
