종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
60310,3S,KOSDAQ,기계·장비,2550,45,1.8,130265837100
54620,APS,KOSDAQ,금융,6940,100,1.46,138065893740
265520,AP시스템,KOSDAQ,기계·장비,25650,600,2.4,391968448650
211270,AP위성,KOSDAQ,운송장비·부품,14000,220,1.6,211152256000
109960,AP헬스케어,KOSDAQ,유통,707,23,3.36,80706290483
139050,BF랩스,KOSDAQ,기타서비스,2805,0,0,24247965555
126600,BGF에코머티리얼즈,KOSDAQ,화학,4155,55,1.34,224508257625
13720,CBI,KOSDAQ,운송장비·부품,1242,37,3.07,55428144912
83790,CG인바이츠,KOSDAQ,기타서비스,3005,0,0,231067016910
35760,CJ ENM,KOSDAQ,기타서비스,71500,1400,2,1567934511000
311690,CJ 바이오사이언스,KOSDAQ,기타서비스,12680,340,2.76,115546525360
51500,CJ프레시웨이,KOSDAQ,유통,20200,50,0.25,239806037200
58820,CMG제약,KOSDAQ,제약,2160,10,0.47,300007247040
23460,CNH,KOSDAQ,금융,2365,65,2.83,87978000000
56730,CNT85,KOSDAQ,건설,888,0,0,65810733168
65770,CS,KOSDAQ,일반전기전자,1191,-4,-0.33,23118655830
83660,CSA 코스믹,KOSDAQ,화학,1140,-20,-1.72,69821786340
456440,DB금융스팩11호,KOSDAQ,금융,2320,40,1.75,12330800000
477760,DB금융스팩12호,KOSDAQ,금융,2110,25,1.2,12322400000
60900,DGP,KOSDAQ,전기·가스·수도,1176,-4,-0.34,29703677304
290120,DH오토리드,KOSDAQ,운송장비·부품,3000,5,0.17,46545414000
25440,DH오토웨어,KOSDAQ,일반전기전자,401,1,0.25,61716354120
68790,DMS,KOSDAQ,기계·장비,6230,10,0.16,153090170030
241520,DSC인베스트먼트,KOSDAQ,금융,3160,-30,-0.94,86887755000
180400,DXVX,KOSDAQ,기타서비스,2050,25,1.23,61949835600
245620,EDGC,KOSDAQ,기타서비스,415,0,0,57474989665
37370,EG,KOSDAQ,화학,7650,30,0.39,65981035800
50120,ES큐브,KOSDAQ,유통,2200,-35,-1.57,29840989200
214270,FSN,KOSDAQ,출판·매체복제,1900,25,1.33,63175879700
130500,GH신소재,KOSDAQ,섬유·의류,2800,55,2,40726145600
900290,GRT,KOSDAQ,금융,3400,-25,-0.73,229075000000
83450,GST,KOSDAQ,기계·장비,18850,-10,-0.05,175639493250
297890,HB솔루션,KOSDAQ,기계·장비,8420,30,0.36,615622557560
440290,HB인베스트먼트,KOSDAQ,금융,2465,20,0.82,66818779650
78150,HB테크놀러지,KOSDAQ,기계·장비,3625,70,1.97,336095195500
195940,HK이노엔,KOSDAQ,제약,36300,150,0.41,1028375043300
28300,HLB,KOSDAQ,제약,91700,-1400,-1.5,11998519878800
278650,HLB바이오스텝,KOSDAQ,기타서비스,3040,-10,-0.33,263660990560
67630,HLB생명과학,KOSDAQ,제약,12270,530,4.51,1456036286280
24850,HLB이노베이션,KOSDAQ,일반전기전자,3625,45,1.26,262370449375
47920,HLB제약,KOSDAQ,기타서비스,29950,-750,-2.44,951810820300
115450,HLB테라퓨틱스,KOSDAQ,유통,9020,-340,-3.63,714827224760
46210,HLB파나진,KOSDAQ,의료·정밀기기,4880,590,13.75,200150891760
403870,HPSP,KOSDAQ,기계·장비,40200,1500,3.88,3333952588800
36640,HRS,KOSDAQ,화학,5510,0,0,90114948000
439730,IBKS제20호스팩,KOSDAQ,금융,2540,-15,-0.59,10947400000
442770,IBKS제21호스팩,KOSDAQ,금융,2455,10,0.41,10335550000
448760,IBKS제22호스팩,KOSDAQ,금융,2365,15,0.64,10476950000
467930,IBKS제23호스팩,KOSDAQ,금융,2220,-30,-1.33,9390600000
469480,IBKS제24호스팩,KOSDAQ,금융,2200,0,0,9306000000
95340,ISC,KOSDAQ,유통,60400,0,0,1280302303200
99520,ITX-AI,KOSDAQ,일반전기전자,1284,0,0,58141862016
950170,JTC,KOSDAQ,유통,5400,0,0,279430279200
67290,JW신약,KOSDAQ,제약,1725,15,0.88,87701590950
35900,JYP Ent.,KOSDAQ,오락·문화,56400,700,1.26,2004032548800
318000,KBG,KOSDAQ,화학,6940,10,0.14,60657147620
24840,KBI메탈,KOSDAQ,금속,2485,35,1.43,86749359515
24120,KB오토시스,KOSDAQ,운송장비·부품,4230,30,0.71,48645000000
455250,KB제25호스팩,KOSDAQ,금융,2640,0,0,11365200000
458320,KB제26호스팩,KOSDAQ,금융,2485,0,0,13679925000
464680,KB제27호스팩,KOSDAQ,금융,2005,9,0.45,25874525000
476470,KB제28호스팩,KOSDAQ,금융,2180,5,0.23,12000900000
478390,KB제29호스팩,KOSDAQ,금융,2055,15,0.74,12782100000
21320,KCC건설,KOSDAQ,건설,4310,10,0.23,92234000000
36670,KCI,KOSDAQ,화학,7130,60,0.85,80355100000
44180,KD,KOSDAQ,건설,508,0,0,13572641892
46440,KG모빌리언스,KOSDAQ,출판·매체복제,5020,90,1.83,194904351360
151860,KG에코솔루션,KOSDAQ,화학,7640,170,2.28,378966935280
35600,KG이니시스,KOSDAQ,출판·매체복제,10760,0,0,300251709840
226360,KH 건설,KOSDAQ,건설,2555,0,0,60698450260
111870,KH 미래물산,KOSDAQ,일반전기전자,8910,0,0,43928518590
60720,KH바텍,KOSDAQ,일반전기전자,12980,-40,-0.31,307333197160
58400,KNN,KOSDAQ,기타서비스,799,2,0.25,105811346280
