종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
95570,AJ네트웍스,KOSPI,서비스업,4460,85,1.94,201827305140
6840,AK홀딩스,KOSPI,기타금융,14120,100,0.71,187055561320
27410,BGF,KOSPI,기타금융,3510,15,0.43,335965936410
282330,BGF리테일,KOSPI,유통업,100300,400,0.4,1733575771800
138930,BNK금융지주,KOSPI,기타금융,8640,-160,-1.82,2782844104320
1460,BYC,KOSPI,섬유의복,34700,-150,-0.43,216741405000
1465,BYC우,KOSPI,섬유의복,15000,0,0,32307750000
1040,CJ,KOSPI,기타금융,114900,3200,2.86,3352437070200
79160,CJ CGV,KOSPI,서비스업,5590,90,1.64,925589131090
00104K,CJ4우(전환),KOSPI,기타금융,81700,1200,1.49,345306030400
120,CJ대한통운,KOSPI,운수창고업,92400,-1000,-1.07,2107860585600
11150,CJ씨푸드,KOSPI,음식료품,5180,705,15.75,186121404140
11155,CJ씨푸드1우,KOSPI,음식료품,22200,650,3.02,4440000000
1045,CJ우,KOSPI,기타금융,59000,700,1.2,133353157000
97950,CJ제일제당,KOSPI,음식료품,371500,7500,2.06,5592630099000
97955,CJ제일제당 우,KOSPI,음식료품,147600,700,0.48,195929110800
480,CR홀딩스,KOSPI,비금속광물,6120,-100,-1.61,286969798800
590,CS홀딩스,KOSPI,기타금융,69900,200,0.29,80698291800
12030,DB,KOSPI,서비스업,1313,-10,-0.76,264141374029
16610,DB금융투자,KOSPI,증권,4450,-40,-0.89,188886431050
5830,DB손해보험,KOSPI,보험,111100,-4400,-3.81,7865880000000
990,DB하이텍,KOSPI,전기전자,50900,0,0,2259888129200
139130,DGB금융지주,KOSPI,기타금융,8030,-90,-1.11,1358241038990
1530,DI동일,KOSPI,유통업,27150,350,1.31,684605494800
210,DL,KOSPI,화학,55900,-500,-0.89,1171433915600
215,DL우,KOSPI,화학,26800,0,0,45187882000
375500,DL이앤씨,KOSPI,건설업,31600,50,0.16,1222718486800
37550L,DL이앤씨2우(전환),KOSPI,건설업,22200,100,0.45,46885312200
