종목코드	종목명	시장구분	업종명	종가	대비	등락률	시가총액
060310	3S	KOSDAQ	기계·장비	"2,275"	-5	-0.22	"110,420,860,550"
054620	APS	KOSDAQ	금융	"6,600"	-180	-2.65	"134,601,858,600"
265520	AP시스템	KOSDAQ	반도체	"20,400"	100	0.49	"311,740,988,400"
211270	AP위성	KOSDAQ	통신장비	"14,920"	640	4.48	"225,027,975,680"
126600	BGF에코머티리얼즈	KOSDAQ	화학	"4,220"	-45	-1.06	"228,020,420,500"
013720	CBI	KOSDAQ	운송장비·부품	"1,844"	-55	-2.90	"75,017,807,152"
083790	CG인바이츠	KOSDAQ	기타서비스	"2,730"	10	0.37	"209,921,116,860"
035760	CJ ENM	KOSDAQ	방송서비스	"75,200"	"2,300"	3.16	"1,649,072,380,800"
311690	CJ 바이오사이언스	KOSDAQ	기타서비스	"15,400"	-30	-0.19	"140,332,530,800"
051500	CJ프레시웨이	KOSDAQ	유통	"23,550"	-250	-1.05	"279,575,850,300"
058820	CMG제약	KOSDAQ	제약	"2,200"	0	0.00	"305,562,936,800"
023460	CNH	KOSDAQ	금융	"1,818"	-21	-1.14	"67,629,600,000"
056730	CNT85	KOSDAQ	건설	"1,272"	-6	-0.47	"59,996,368,032"
065770	CS	KOSDAQ	통신장비	"1,319"	14	1.07	"25,603,280,470"
083660	CSA 코스믹	KOSDAQ	화학	"1,143"	11	0.97	"70,005,527,883"
404950	DB금융스팩10호	KOSDAQ	금융	"2,730"	0	0.00	"15,943,200,000"
456440	DB금융스팩11호	KOSDAQ	금융	"2,095"	5	0.24	"11,134,925,000"
367360	DB금융스팩9호	KOSDAQ	금융	"6,020"	0	0.00	"29,136,800,000"
060900	DGP	KOSDAQ	전기·가스·수도	"1,697"	-15	-0.88	"42,863,214,613"
025440	DH오토웨어	KOSDAQ	일반전기전자	"2,235"	0	0.00	"68,796,035,640"
068790	DMS	KOSDAQ	기계·장비	"6,430"	20	0.31	"158,004,782,230"
241520	DSC인베스트먼트	KOSDAQ	금융	"2,770"	15	0.54	"77,037,586,310"
065150	DSEN	KOSDAQ	유통	274	0	0.00	"34,327,378,970"
