종목코드	종목명	시장구분	업종명	종가	대비	등락률	시가총액
095570	AJ네트웍스	KOSPI	서비스업	"4,160"	-40	-0.95	"188,251,477,440"
006840	AK홀딩스	KOSPI	기타금융	"17,990"	110	0.62	"238,323,622,390"
027410	BGF	KOSPI	기타금융	"3,530"	-25	-0.70	"337,880,272,230"
282330	BGF리테일	KOSPI	유통업	"131,100"	"-1,200"	-0.91	"2,265,920,076,600"
138930	BNK금융지주	KOSPI	기타금융	"7,110"	40	0.57	"2,290,048,794,180"
001460	BYC	KOSPI	섬유의복	"417,000"	"-8,500"	-2.00	"260,464,455,000"
001465	BYC우	KOSPI	섬유의복	"138,700"	"-1,100"	-0.79	"29,873,899,500"
001040	CJ	KOSPI	기타금융	"88,600"	100	0.11	"2,585,082,022,800"
079160	CJ CGV	KOSPI	서비스업	"5,600"	60	1.08	"685,615,196,000"
00104K	CJ4우(전환)	KOSPI	기타금융	"69,500"	0	0.00	"293,742,584,000"
000120	CJ대한통운	KOSPI	운수창고업	"96,300"	"2,800"	2.99	"2,196,828,727,200"
011150	CJ씨푸드	KOSPI	음식료품	"2,830"	-50	-1.74	"101,684,087,590"
011155	CJ씨푸드1우	KOSPI	음식료품	"22,950"	"-2,250"	-8.93	"4,590,000,000"
001045	CJ우	KOSPI	기타금융	"48,900"	-50	-0.10	"110,524,904,700"
097950	CJ제일제당	KOSPI	음식료품	"324,000"	"-2,000"	-0.61	"4,877,556,264,000"
097955	CJ제일제당 우	KOSPI	음식료품	"134,500"	-600	-0.44	"178,539,738,500"
000480	CR홀딩스	KOSPI	비금속광물	"6,580"	-390	-5.60	"185,192,994,560"
000590	CS홀딩스	KOSPI	기타금융	"59,200"	100	0.17	"68,345,334,400"
012030	DB	KOSPI	서비스업	"1,643"	-5	-0.30	"330,528,771,919"
016610	DB금융투자	KOSPI	증권	"3,985"	0	0.00	"169,148,860,165"
005830	DB손해보험	KOSPI	보험	"81,800"	500	0.62	"5,791,440,000,000"
000990	DB하이텍	KOSPI	전기전자	"55,800"	-300	-0.53	"2,477,441,210,400"
139130	DGB금융지주	KOSPI	기타금융	"8,330"	-30	-0.36	"1,408,984,788,890"
001530	DI동일	KOSPI	유통업	"32,400"	0	0.00	"843,717,934,800"
000210	DL	KOSPI	화학	"47,150"	-850	-1.77	"988,069,930,600"
001880	DL건설	KOSPI	건설업	"13,190"	-30	-0.23	"290,882,815,960"
000215	DL우	KOSPI	화학	"23,000"	-500	-2.13	"38,780,645,000"
375500	DL이앤씨	KOSPI	건설업	"37,550"	250	0.67	"1,452,945,543,650"
37550L	DL이앤씨2우(전환)	KOSPI	건설업	"24,050"	-100	-0.41	"50,792,421,550"
37550K	DL이앤씨우	KOSPI	건설업	"18,600"	50	0.27	"39,318,261,000"
007340	DN오토모티브	KOSPI	전기전자	"70,800"	100	0.14	"707,575,554,000"
004840	DRB동일	KOSPI	화학	"5,630"	-260	-4.41	"112,205,900,000"
155660	DSR	KOSPI	철강금속	"4,455"	35	0.79	"71,280,000,000"
069730	DSR제강	KOSPI	철강금속	"4,305"	50	1.18	"61,992,000,000"
017940	E1	KOSPI	유통업	"63,100"	"2,400"	3.95	"432,866,000,000"
365550	ESR켄달스퀘어리츠	KOSPI	서비스업	"3,635"	15	0.41	"774,578,515,000"
383220	F&F	KOSPI	섬유의복	"88,500"	-800	-0.90	"3,390,176,137,500"
007700	F&F홀딩스	KOSPI	기타금융	"16,380"	-410	-2.44	"640,693,331,460"
114090	GKL	KOSPI	서비스업	"14,070"	-90	-0.64	"870,309,276,900"
078930	GS	KOSPI	기타금융	"42,750"	0	0.00	"3,972,132,409,500"
006360	GS건설	KOSPI	건설업	"16,910"	-60	-0.35	"1,447,182,995,900"
001250	GS글로벌	KOSPI	유통업	"2,555"	-10	-0.39	"210,873,767,020"
007070	GS리테일	KOSPI	유통업	"25,250"	50	0.20	"2,644,127,530,500"
078935	GS우	KOSPI	기타금융	"35,850"	0	0.00	"63,986,012,100"
012630	HDC	KOSPI	기타금융	"7,000"	60	0.86	"418,192,047,000"
